duygu;veri
Olumlu;Ürünü kullandım gayet memnunum
Olumlu;Hızlı kargo
Olumsuz;çok kötü hiç bir işe yaramıyor
Olumsuz;Çok geç ısıtıyor  ekmeği kızartmıyor yani düşük performans ??????????
Olumlu;good
Olumsuz;Fiyatına göre iyi gibi ama ince halıları kaldırıyor yerden gücünden dolayı. Süpürge olayı biraz zor oluyor. Parkelere yapışıp kalıyor. Fazla gücü olması çok da iyi değil demek ki
Olumsuz;İşi yapan Antalya Üçay mühendislik işi alana kadar sonrası adam yerine koymuyorlar defalarca aramama ramen dönmüyorlar Daıkın kombi için bilemiyorum
Olumsuz;Çok kötü. Hiç şarz yok. Kalitesiz. Kullanamadık
Olumsuz;Ürün ses deneyimi baslar tizler her konuda güzel.300 liraya en güzel 5+1 lerden. Kargolama sürecinde satıcı hepsiburada olmasına rağmen ürün kendi kutusunda kargolanmış ayrıca bir kutu içerisinde gelmedi.  Kutusu üzerinde sağı solu yıpranmış sanki 2.el ürün alıyor izlenimi vardı ama net bir darbe izi olmadığından ürünü teslim aldım.
Olumlu;Tasarımı güzel ve kullanışlı. Benzer modellere göre oldukça hafif ve çekiş gücü yüksek. Kablosu biraz daha uzun olsa iyi olurdu.
Olumsuz;Hocam canaksiz diyorsunuz wi-fi internet olmadan nasıl izliyoruz anlamadim
Olumlu;Ev aletlerinde her zaman tefali tercih ediyorum bu üründe de aynı kaliteyi düşünerek aldım ve tabiki tefal beni şaşrtmadı çok memnun kaldım pratik ve güzel bi set. pudra rengi de beni bitirdi cidden mutfağıma aşırı  yakıştııııı :)
Olumlu;ücretsiz kurulum yapıldı güzel görünüyor
Olumlu;Kullanışlı sağlam bir ürün çok memnun kaldım aynı görseldeki gibi geldi paketlemeside güzeldi.
Olumlu;Gayet güzel bir ürün
Olumlu;Kaliteli Bi ürün
Olumlu;GAYET GÜZEL VE UYGUN AYNI ZAMANDA HIZLI BİR TESLİMAT OLDU
Olumlu;Mağazadakiyle aynı hem daha uygun
Olumsuz;keşke en azından poşete koysaydınız
Olumlu;Çok beğendik çok güzel. Çekiş gücü mükemmel. İnce tozlarıda çekiyor.
Olumlu;2 hafta oldu alalı çooook beğendim tasarımı da son derece şık almayı düşünen herkese tavsiye ederim
Olumsuz;5 yil once janome 1018 aldım guzel makina kullanirken ariza yaptı servis bulamadigimdan tamire verdim motor yanmis diyip tamir etti ama koku oluyordu makine calismadi geri goturdum bu sefer motorun yarisi yanmis dedi biseyler yapti aldim geldim gene zorlaniyor koku yapiyor servisinide bulamiyorum ne yapabilirim
Olumsuz;İlk kullanımda bıçak dişlisi bozuldu. Garaniden yapıldı. 3 ay sonra tekrar aynı sorun oldu bu kez kullanıcı hatası dediler ve tamir için 90 tl istediler. Gerçekten berbat bir deneyimdi.
Olumsuz;Şık duruyor ama serviste kaydı bulundu
Olumlu;Çok güzel bir ütü fakat biraz ağır
Olumsuz;Ürün çalıntı çıktı
Olumsuz;Kargoda hep sorun oldu
Olumlu;Tefal olduğu için aldım henüz kullanmadım ama iyidir diye umuyorum
Olumlu;TESEKKURLER...URUN KISA SUREDE ELIME ULAST
Olumsuz;Beklediğim gibi bir ürün çıkmadı kalitesi çok düşük çabuk arıza yapıyor
Olumsuz;Sık kullanılmaya dayanıksız bir makine arada çalışırken duruyor begenmedim
Olumsuz;Maalesef telefonu büyük bi heyecanla almama rağmem tam bir hayal kırıklığına uğradım. Sebebi bataryası ve ısınması. Telefon normal kullanımda (oyun oynamam asla sadece internet ve sosyal medya) şarjı adeta içiyor. Şöyle söyleyim sabah saat yüzde94 ile başladım öğlen 14 te yüzde 35e indi. Ve bu arada maksimüm 4 saat telefon ile uğraşmışımdır. Sadece internet ve sosyal medya için o da. Bu arada tek sorum bu değildi aynı zamanda bariz derecede ısınma problemi de brni karşıladı. Yanı 18 saatlik telefonu servise yolladım bir gün bile kullanamadan...
Olumsuz;KARGODAN DAHA ELİME GEÇMEYEN  ÜRÜN ENTERESAN
Olumsuz;Beğenmedim.Mağaza ile iletişim kurmak oldukça güç.
Olumlu;Hayal ettiğimden çok daha iyi buldum ürünü. Ben görme engelli olan birisiyim kullanımı son derece kolay tek bir düğme ile yapıyorsunuz bütün işleme arzuma teşekkürler
Olumlu;Olumlu yönleri: Annemlerin evine bir tane elektrik süpürgesi almak istiyordum. Yaptığım ince araştırmalardan sonra Fantom marka bu elektrik süpürgesini aldık. Annem şu anda kullanıyor ve çok memnun olduğunu söylüyor. O yüzden herkese tavsiye ederim.
Olumlu;Olumlu yönleri: Kullanışlı ve büyük
Olumlu;şimdilik sorunsuz kullanıyoruz rengi pembe aldık biraz fazla gösterişli daha geniş bir renk skalası sunulabilir
Olumsuz;6 ve 8 ay kadar sonra cekim gücü 3/2 azalıyor
Olumsuz;çok beğenmedim
Olumlu;jülyen doğrama yapiyor mu
Olumsuz;ben rose uydu aldim kumandasi calismadi 3 tane kumanda deyistirdim alali 2 gun oldu 3 cu kumadayi aldim bu defada sinyal gitti ortada ne kanal var nede bisey tafsiye etmiyorum yarinda cagirip uyduyu geri teslim edicem 1 yildiz bile cok
Olumsuz;Aldık çeyiz e düğün olmadan çeyiz setetken açtık gurultuden evde ucak kalkıyor sandık geri iade ettik yenisini verdiler icinde uxatma ayağı yok pervane bagliycak vidalar yok tekrar iade edeceğiz yok böyle birsey
